1/21/2019,20:36,124.606
1/21/2019,20:37,124.605
1/21/2019,20:38,124.605
1/21/2019,20:39,124.609
1/21/2019,20:40,124.605
1/21/2019,20:41,124.621
1/21/2019,20:42,124.613
1/21/2019,20:43,124.605
1/21/2019,20:44,124.607
1/21/2019,20:45,124.603
1/21/2019,20:46,124.605
1/21/2019,20:47,124.604
1/21/2019,20:48,124.609
1/21/2019,20:49,124.604
1/21/2019,20:50,124.606
1/21/2019,20:51,124.607
1/21/2019,20:52,124.608
1/21/2019,20:53,124.606
1/21/2019,20:54,124.620
1/21/2019,20:55,124.630
1/21/2019,20:56,124.635
1/21/2019,20:57,124.633
1/21/2019,20:58,124.620
1/21/2019,20:59,124.638
1/21/2019,21:00,124.634
1/21/2019,21:01,124.629
1/21/2019,21:02,124.631
1/21/2019,21:03,124.633
1/21/2019,21:04,124.631
1/21/2019,21:05,124.633
1/21/2019,21:06,124.633
1/21/2019,21:07,124.632
1/21/2019,21:08,124.634
1/21/2019,21:09,124.634
1/21/2019,21:10,124.636
1/21/2019,21:11,124.635
1/21/2019,21:12,124.633
1/21/2019,21:13,124.633
1/21/2019,21:14,124.638
1/21/2019,21:15,124.638
1/21/2019,21:16,124.634
1/21/2019,21:17,124.631
1/21/2019,21:18,124.638
1/21/2019,21:19,124.630
1/21/2019,21:20,124.628
1/21/2019,21:21,124.631
1/21/2019,21:22,124.631
1/21/2019,21:23,124.632
1/21/2019,21:24,124.633
1/21/2019,21:25,124.632
1/21/2019,21:26,124.641
1/21/2019,21:27,124.647
1/21/2019,21:28,124.641
1/21/2019,21:29,124.629
1/21/2019,21:30,124.632
1/21/2019,21:31,124.633
1/21/2019,21:32,124.634
1/21/2019,21:33,124.637
1/21/2019,21:34,124.633
1/21/2019,21:35,124.635
1/21/2019,21:36,124.635
1/21/2019,21:37,124.628
1/21/2019,21:38,124.629
1/21/2019,21:39,124.627
1/21/2019,21:40,124.629
1/21/2019,21:41,124.630
1/21/2019,21:42,124.629
1/21/2019,21:43,124.631
1/21/2019,21:44,124.629
1/21/2019,21:45,124.630
1/21/2019,21:46,124.630
1/21/2019,21:47,124.632
1/21/2019,21:48,124.632
1/21/2019,21:49,124.629
1/21/2019,21:50,124.630
1/21/2019,21:51,124.631
1/21/2019,21:52,124.626
1/21/2019,21:53,124.630
1/21/2019,21:54,124.630
1/21/2019,21:55,124.632
1/21/2019,21:56,124.634
1/21/2019,21:57,124.634
1/21/2019,21:58,124.631
1/21/2019,21:59,124.633
1/21/2019,22:00,124.644
1/21/2019,22:01,124.630
1/21/2019,22:02,124.628
1/21/2019,22:03,124.629
1/21/2019,22:04,124.628
1/21/2019,22:05,124.628
1/21/2019,22:06,124.630
1/21/2019,22:07,124.627
1/21/2019,22:08,124.628
1/21/2019,22:09,124.639
1/21/2019,22:10,124.636
1/21/2019,22:11,124.637
1/21/2019,22:12,124.637
1/21/2019,22:13,124.639
1/21/2019,22:14,124.639
1/21/2019,22:15,124.638
1/21/2019,22:16,124.641
1/21/2019,22:17,124.638
